ID,English_Verb,Greek_Verb,Translation,Verb_Group,Present_Ego,Present_Esy,Present_HeSheIt,Present_We,Present_YouPl,Present_They,Aorist_Ego,Aorist_Esy,Aorist_HeSheIt,Aorist_We,Aorist_YouPl,Aorist_They,Future_Ego,Future_Esy,Future_HeSheIt,Future_We,Future_YouPl,Future_They,Present_Imperative_Esy,Present_Imperative_YouPl,Aorist_Imperative_Esy,Aorist_Imperative_YouPl
60,Sleep,Κοιμάμαι ,To sleep,PASD,Κοιμάμαι ,Κοιμάσαι ,Κοιμάται ,Κοιμόμαστε ,Κοιμάστε ,Κοιμούνται ,Κοιμήθηκα ,Κοιμήθηκες ,Κοιμήθηκε ,Κοιμηθήκαμε ,Κοιμηθήκατε ,Κοιμήθηκαν ,Θα κοιμηθώ ,Θα κοιμηθείς ,Θα κοιμηθεί ,Θα κοιμηθούμε ,Θα κοιμηθείτε ,Θα κοιμηθούν ,Κοιμήσου ,Κοιμάσου ,Κοιμηθείτε ,Κοιμάστε 
61,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,
